age ht wt grmax
637 62 159 59.2 20
638 62 164.5 68.2 41
639 62 155.5 77.9 22
640 62 154.5 62.6 35
641 62 153.4 56.8 34
642 62 157 72.3 25
643 62 153.6 64.8 26
644 62 154.3 63.6 27
645 62 140.5 54 20
646 62 145.1 53.2 26
647 62 145.7 46.8 23
648 62 146.6 53.4 22
649 62 159.7 58.8 31
650 62 152.1 50.2 24
651 62 145.3 48.6 27
652 63 148.2 42.2 26
653 63 149.6 40.4 25
654 63 147.5 46.6 28
655 63 153.9 62.7 28
656 63 144.2 42.6 21
657 63 152.9 59.4 24
658 63 152 53.4 24
659 63 146.9 50.6 22
660 63 140.2 49.6 19
661 63 157.4 54 31
662 63 158.6 54.2 25
663 63 148.8 55 19
664 63 144.5 54.6 19
665 63 149.4 44.6 25
666 64 150 56.8 33
667 64 150 64 31
668 64 146.9 51.4 27
669 64 154.6 53.1 27
670 64 145 43 26
671 64 143.4 61.5 23
672 64 151.5 63.4 26
673 64 153.6 48 28
674 64 146.8 49.9 25
675 64 150.8 53 27
676 64 148.5 50.2 25
677 64 146.7 60.5 23
678 64 157.2 59.4 29
679 64 158.6 59.8 22
680 64 155.5 65.4 25
681 64 153.4 69 27
682 64 153.9 58.2 17
683 64 148.7 45.2 26
684 64 140.4 38.8 22
685 64 152 57.2 29
686 64 147.6 51.4 19
687 64 148.6 52.8 28
688 65 154.7 86.7 20
689 65 145.6 43.7 11
690 65 154.1 50.7 27
691 65 145.7 50.5 21
692 65 149 65 25
693 65 155 61.6 23
694 65 151.7 49.4 24
695 65 145 67.3 20
696 65 150.9 44.7 23
697 65 147.3 49.3 20
698 65 155.9 60 32
699 65 154.4 52.2 22
700 65 155 60 23
701 65 153.3 54.2 23
702 65 149.5 57.6 27
703 65 154.4 64.2 22
704 65 155.9 61 24
705 65 146.4 42.4 26
706 65 143.5 55.8 20
707 65 154.5 61.8 27
708 65 154 43.4 22
709 65 151.5 54.8 20
710 65 161.8 84.2 11
711 65 148.6 66.4 24
712 65 147.8 37 21
713 65 145.5 60.4 21
714 65 151 52.8 18
715 65 138.4 42.6 15
716 66 150.6 41.6 24
717 66 154.9 44 27
718 66 158.6 57.3 29
719 66 150.3 70.1 29
